adm1_code,Region,percent
,"Ukraina",29.59
UKR-283,"Avtonomna Respublika Krym",76.55
UKR-323,"Vinnytska oblast",4.74
UKR-318,"Volynska oblast",2.51
UKR-326,"Dnipropetrovska oblast",31.91
UKR-327,"Donetska oblast",74.92
UKR-324,"Zhytomyrska oblast",6.57
UKR-293,"Zakarpatska oblast",2.90
UKR-331,"Zaporizka oblast",48.19
UKR-289,"Ivano-Frankivska oblast",1.78
UKR-321,"Kyivska oblast",7.17
UKR-320,"Kirovohradska oblast",10.02
UKR-329,"Luhanska oblast",68.84
UKR-291,"Lvivska oblast",3.77
UKR-284,"Mykolaivska oblast",29.26
UKR-322,"Odeska oblast",41.95
UKR-330,"Poltavska oblast",9.47
UKR-286,"Rivnenska oblast",2.73
UKR-325,"Sumska oblast",15.50
UKR-292,"Ternopilska oblast",1.19
UKR-328,"Kharkivska oblast",44.29
UKR-4827,"Khersonska oblast",24.86
UKR-290,"Khmelnytska oblast",4.09
UKR-319,"Cherkaska oblast",6.66
UKR-288,"Chernivetska oblast",5.27
UKR-285,"Chernihivska oblast",10.26
UKR-4826,"m. Kyiv",25.27
UKR-5482,"m. Sevastopol",90.56
